Term;Scientific Name;Type;workId;WordsFrame;Sentence
swift;Apodidae;organism;PG10002;1.0;and the ms. itself--you must picture me, when first it was given into my care, turning it over, curiously, and making a swift, jerky examination.
hamlet;Hypoplectrus;organism;PG10002;1.0;william hope hodgson december 17, 1907 i  the finding of the manuscript right away in the west of ireland lies a tiny hamlet called kraighten.
hamlet;Hypoplectrus;organism;PG10002;2.0;it was evident, i reflected as i went toward the tent, that the inhabitants of these few huts in the wilderness did not know a word of english, and when i told tonnison, he remarked that he was aware of the fact, and, more, that it was not at all uncommon in that part of the country, where the people often lived and died in their isolated hamlets without ever coming in contact with the outside world.
tree;Tracheophyta;organism;PG10002;3.0;presently, we came among bushes, and, after a time, out upon the top of a high, boulder-strewn bank, from which we looked down into a wilderness of bushes and trees.
bush;Viburnum plicatum;organism;PG10002;3.0;presently, we came among bushes, and, after a time, out upon the top of a high, boulder-strewn bank, from which we looked down into a wilderness of bushes and trees.
tree;Tracheophyta;organism;PG10002;3.0;down the sloping bank we made our way, and entered among the trees and shrubberies.
tree;Tracheophyta;organism;PG10002;3.0;the bushes were matted, and the trees overhung us, so that the place was disagreeably gloomy, though not dark enough to hide from me the fact that many of the trees were fruit trees, and that, here and there, one could trace indistinctly, signs of a long departed cultivation.
bush;Viburnum plicatum;organism;PG10002;3.0;the bushes were matted, and the trees overhung us, so that the place was disagreeably gloomy, though not dark enough to hide from me the fact that many of the trees were fruit trees, and that, here and there, one could trace indistinctly, signs of a long departed cultivation.
bush;Viburnum plicatum;organism;PG10002;3.0;one could imagine things lurking among the tangled bushes, while, in the very air of the place, there seemed something uncanny.
tree;Tracheophyta;organism;PG10002;3.0;through the trees there had grown upon our ears a distant sound.
bush;Viburnum plicatum;organism;PG10002;4.0;and he began to push vigorously through the bushes, in the direction of the noise.
tree;Tracheophyta;organism;PG10002;4.0;steadily, the roaring grew louder and nearer, until it appeared, as i remarked to tonnison, almost to come from under our feet--and still we were surrounded by the trees and shrubs.
tree;Tracheophyta;organism;PG10002;4.0;and then, suddenly, we came out from among the trees, on to a great open space, where, not six paces in front of us, yawned the mouth of a tremendous chasm, from the depths of which the noise appeared to rise, along with the continuous, mistlike spray that we had witnessed from the top of the distant bank.
perch;Percinae;organism;PG10002;4.0;arriving opposite it, we walked out on to the projecting arm of rock, and i must confess to having felt an intolerable sense of terror as i looked down from that dizzy perch into the unknown depths below us--into the deeps from which there rose ever the thunder of the falling water and the shroud of rising spray.
tree;Tracheophyta;organism;PG10002;5.0;i looked at him, and then away among the trees and bushes, holding my breath involuntarily.
bush;Viburnum plicatum;organism;PG10002;5.0;i looked at him, and then away among the trees and bushes, holding my breath involuntarily.
tree;Tracheophyta;organism;PG10002;5.0;it appeared to float through the trees, and there was a rustle of stirring leaves, and then silence.
tree;Tracheophyta;organism;PG10002;5.0;"""let us get out of here,"" he said, and began to move slowly toward where the surrounding trees and bushes seemed thinnest."
bush;Viburnum plicatum;organism;PG10002;5.0;"""let us get out of here,"" he said, and began to move slowly toward where the surrounding trees and bushes seemed thinnest."
tree;Tracheophyta;organism;PG10002;5.0;we were among the trees now, and i glanced around, nervously, but saw nothing, save the quiet branches and trunks and the tangled bushes.
bush;Viburnum plicatum;organism;PG10002;5.0;we were among the trees now, and i glanced around, nervously, but saw nothing, save the quiet branches and trunks and the tangled bushes.
tree;Tracheophyta;organism;PG10002;5.0;only then was i able to shake off the haunting dread that had followed me among the trees.
dog;Canis lupus familiaris;organism;PG10002;6.0;i have one friend, a dog, yes, i would sooner have old pepper than the rest of creation together.
pepper;Capsicum frutescens;organism;PG10002;6.0;i have one friend, a dog, yes, i would sooner have old pepper than the rest of creation together.
dog;Canidae;organism;PG10002;6.0;i have one friend, a dog, yes, i would sooner have old pepper than the rest of creation together.
pepper;Capsicum frutescens;organism;PG10002;6.0;pepper lay, sleeping, near my chair.
pepper;Capsicum frutescens;organism;PG10002;7.0;it was pepper, cowering under my dressing gown.
lion;Panthera leo;organism;PG10002;7.0;pepper, usually as brave as a lion!
pepper;Capsicum frutescens;organism;PG10002;7.0;pepper, usually as brave as a lion!
dog;Canis lupus familiaris;organism;PG10002;7.0;it was this movement of the dog's, i think, that gave me the first twinge of real fear.
dog;Canidae;organism;PG10002;7.0;it was this movement of the dog's, i think, that gave me the first twinge of real fear.
animal;Animalia;organism;PG10002;9.0;was there then, after all, something in the old heathen worship, something more than the mere deifying of men, animals, and elements?
pepper;Capsicum frutescens;organism;PG10002;11.0;then, things came back to me, and i called 'pepper,' faintly.
tree;Tracheophyta;organism;PG10002;12.0;at the bottom runs a sluggish stream so overhung by trees as scarcely to be seen from above.
